Name,Year of release,Aired Date,Aired On,Number of Episode,Network,Duration,Content Rating,Synopsis,Cast,Genre,Tags,Rank,Rating
365,2020,"Mar 23, 2020 - Apr 28, 2020"," Monday, Tuesday",24,MBC ,35 min.,15+ - Teens 15 or older ,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.","Lee Joon Hyuk, Nam Ji Hyun, Kim Jee Soo, Lee Sung Wook, Yoon Joo Sang, Ahn Seung Gyun","Thriller,  Mystery,  Drama,  Fantasy ","Strong Female Lead, Time Travel, Nice Male Lead, Suspense, Murder, Detective, Fate, Supernatural, Accident, Webtoon Writer",#76,8.6
Designated Survivor,2019,"Jul  1, 2019 - Aug 20, 2019"," Monday, Tuesday",16,"Netflix,  tvN ",1 hr. 10 min.,15+ - Teens 15 or older ,"Park Moo Jin is a former professor of chemistry and now holds the Minister of Environment position. He doesn't have ambition, personal beliefs or political sense. One day, the cabinet is gathered in the National Assembly for the president's address. A terror attack takes place, killing many government officials, including the president and ministers. Park Moo Jin is the highest ranking government official left alive. He doesn't want the position, but he must sit as the acting president for 60 days. Park Moo Jin chases after the person or group responsible for the attack as he grows as a national leader.","Ji Jin Hee, Son Seok Koo, Kang Han Na, Heo Joon Ho, Lee Joon Hyuk, Choi Yoon Young","Thriller,  Mystery,  Drama,  Political ","Power Struggle, Conspiracy, Blue House, Lying, Social Commentary, Terrorism, Deception, National Intelligence Service, National Assembly, Death",#77,8.6
Just Between Lovers,2017,"Dec 11, 2017 - Jan 30, 2018"," Monday, Tuesday",16,jTBC ,1 hr. 13 min.,15+ - Teens 15 or older ,"A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever. ","Lee Jun Ho, Won Jin Ah, Lee Ki Woo, Kang Han Na, Kim Hye Joon, Yoon Se Ah","Psychological,  Romance,  Melodrama ","Trauma, Healing, Survivor Guilt, Hardworking Female Lead, Strong Female Lead, Tearjerker, Hardworking Male Lead, Phobia, Disaster, Poor Male Lead",#78,8.6
Squid Game,2021,"Sep 17, 2021", Friday,9,Netflix ,60 min.,18+ Restricted (violence & profanity) ,"After a failed business venture, the debt-ridden chauffeur Seong Gi Hun lives his life gambling away the money he mooches off his elderly mother while failing to provide for her and his estranged daughter. When his life finally hits rock bottom, he receives an irresistible offer promising him a ₩45.6 billion prize in exchange for winning traditional Korean children's games against 455 other players, among them his childhood friend Cho Sang Woo. Commencing the games, the participants soon learn of the deadly consequences that come with losing.","Lee Jung Jae, Park Hae Soo, Jung Ho Yeon, Wi Ha Joon, Anupam Tripathi, Oh Young Soo","Action,  Thriller,  Mystery,  Drama ","Death, Death Game, Poor Male Lead, Extreme Violence, Debt, Gore, Competition, Game Show, Survival, Murder",#79,8.6
Avengers Social Club,2017,"Oct 11, 2017 - Nov 16, 2017"," Wednesday, Thursday",12,tvN ,60 min.,15+ - Teens 15 or older ,"Features three women from different walks of life coming together for revenge: a middle-aged fish store owner who envisioned a better life for herself, a housewife, and an heiress who was raised like a delicate greenhouse flower. They’re an unlikely trio who would never otherwise meet, but they join forces to carry out their individual revenge. Although they start out as co-conspirators, along the way they’ll build a strong friendship.","Lee Yo Won, Ra Mi Ran, Myung Se Bin, Lee Jun Young, Choi Byung Mo, Jang Yong","Friendship,  Comedy,  Life,  Drama ","Revenge, Sismance, Female Centered Plot, Strong Female Lead, Strong Female Characters, Healing, Smart Male Lead, Mother-Son Relationship, Mother-Daughter Relationship, Tragic Past",#80,8.6
The Master's Sun,2013,"Aug  7, 2013 - Oct  3, 2013"," Wednesday, Thursday",17,SBS ,1 hr. 2 min.,15+ - Teens 15 or older ,"Joo Joong Won is the stingy and greedy CEO of Kingdom, a conglomerate that includes a major department store and hotel. He meets the gloomy Tae Gong Shil, who started seeing ghosts after an accident. Their lives take a new turn as they work together to deal with the terror and sadness brought about by the spirits, while delving into a kidnapping incident in Joong Won's past. And unknowingly, they fell in love with each other. Edit Translation  English Français Español Português","Gong Hyo Jin, So Ji Sub, Seo In Guk, Kim Yoo Ri, Choi Jung Woo, Kim  Mi Kyung","Horror,  Comedy,  Romance,  Supernatural ","Ghost, Eccentric Female Lead, Rich Male Lead, Clingy Female Lead, Successful Male Lead, Obsession, Tragic Past, Trauma, Secondary Couple, Eccentric Male Lead",#81,8.6
Once Again,2020,"Mar 28, 2020 - Sep 13, 2020"," Saturday, Sunday",100,KBS2 ,35 min.,15+ - Teens 15 or older ,"""Once Again"" is the story of the eventful Song family who can’t get a day of peace and their neighbors in Yongju Market. ","Chun Ho Jin, Cha Hwa Yun, Lee Jung Eun, Oh Dae Hwan, Lee Min Jung, Lee Sang Yeob","Comedy,  Romance,  Drama,  Family ","Divorce, Family Relationship, Multiple Couples, Multiple Mains, Marriage, Slice Of Life, Married Couple, Age Gap, Sibling, Secret Relationship",#82,8.6
Save Me,2017,"Aug  5, 2017 - Sep 24, 2017"," Saturday, Sunday",16,OCN ,60 min.,15+ - Teens 15 or older ,"Following the failure of her father's business, Sang Mi and her family move to Muji-gun where they have no friends or relatives. There she meets four young men, Han Sang Hwan, Seok Dong Cheol, Woo Jung Hoon, and Choi Man Hee. When Sang Mi and her family face some trouble, Spiritual Father Baek Jung Ki of Goosunwon offers to help them. However, her family is slowly getting sucked into the pseudo-religious cult and the four young men try to save her.","Seo Yea Ji, Ok Taec Yeon, Woo Do Hwan, Jo Sung Ha, Jo Jae Yoon, Park Ji Young","Action,  Thriller,  Mystery,  Drama ","Cult, Adapted From A Webtoon, Church, Strong Female Lead, Bromance, School Bullying, Smart Female Lead, Deception, Strong Male Lead, Ex-convict",#83,8.6
Bad Guys,2014,"Oct  4, 2014 - Dec 13, 2014", Saturday,11,OCN ,1 hr. 5 min.,18+ Restricted (violence & profanity) ,"To combat rising violent crimes, the Police Chief asks Detective Oh Goo Tak to form a team consisting of criminals. ","Kim Sang Joong, Park Hae Jin, Jo Dong Hyuk, Ma Dong Seok, Kang Ye Won, Kang Shin Il","Action,  Thriller,  Psychological,  Crime ","Psychopath, Murder, Teamwork, Serial Killer, Strong Male Lead, Gangster, Smart Male Lead, Skilled Killer, Violence, Death",#84,8.6
Missing,2020,"Aug 29, 2020 - Oct 11, 2020"," Saturday, Sunday",12,OCN ,1 hr. 10 min.,15+ - Teens 15 or older ,"A village holds spirits of missing, deceased people. A search to find the missing bodies and discover the truth behind their disappearance occurs.","Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Seo Eun Soo, Song Geon Hee","Thriller,  Mystery,  Supernatural ","Con Artist, Ghost-seeing Male Lead, Spirit, Missing Person, Detective, Hacker, Bromance, Social Justice, Righteous Male Lead, Death",#85,8.6
Rebel,2017,"Jan 30, 2017 - May 16, 2017"," Monday, Tuesday",30,MBC ,60 min.,15+ - Teens 15 or older ,"“The culprit who is posing as a royal official is not stealing wealth. He is stealing the hearts and minds of your people, Your Majesty.” There was a divisive figure in the Joseon Dynasty who was a hero to the people but an enemy to the establishment. His name was Hong Gil Dong. King Yeonsangun had royal lineage but was reviled by his people while Hong Gil Dong was born as a slave but succeeded in winning over the hearts of the commoners. The struggle between these two men demonstrate the qualities that a true leader needs. This TV series portrays the life of Hong Gil Dong who survived in a hostile and tyrannical kingdom as he waged a fight against the powerful elites.","Yoon Kyun Sang, Chae Soo Bin, Kim Ji Suk, Lee Ha Nee, Kim Sang Joong, Shim Hee Sub","Action,  Thriller,  Historical,  Romance ","Rebellion, Joseon Dynasty, Strong Male Lead, Smart Male Lead, Corruption, Slave, Discrimination, Bromance, Superhuman Strength, Revenge",#86,8.5
Nobody Knows,2020,"Mar  2, 2020 - Apr 21, 2020"," Monday, Tuesday",16,SBS ,1 hr. 10 min.,15+ - Teens 15 or older ,"Detective Young Jin, from the regional investigation unit, has only one thing on her mind: to catch the 'Stigmata' serial killer that murdered her friend 19 years ago. She carries guilt and trauma over the event. She has no friends and lives alone. Her downstairs neighbor’s son, Eun Ho, has built a relationship with her ever since she moved above their apartment. He does menial house chores for her. One day Eun Ho, seems to have fallen off the roof of their apartment building and left in a coma. Young Jin senses foul play and decides to take it upon herself to get to the bottom of it. With the help of Eun Ho’s homeroom teacher, Sun Woo, the both begin to uncover that Eun Ho’s injuries were no accident. Edit Translation  English Русский Italiano Español","Kim Seo Hyung, Ryu Deok Hwan, Park Hoon, Ahn Ji Ho, Min Jin Woong, Kang Ye Won","Thriller,  Mystery,  Drama,  Melodrama ","Strong Female Lead, Smart Female Lead, Unusual Friendship, Murder, Death, Strong Friendship, Guilt, Calm Female Lead, Serial Killer, Trauma",#87,8.5
I Hear Your Voice,2013,"Jun  5, 2013 - Aug  1, 2013"," Wednesday, Thursday",18,SBS ,60 min.,15+ - Teens 15 or older ,"Jang Hye Sung, a bold, sassy, thick-faced, comical, and a materialistic public defender who becomes a lawyer after overcoming poverty and painful memories from her childhood, comes to realization about society and justice after meeting Park Soo Ha, a 19-year-old boy who reads other people’s thoughts and Cha Kwan Woo, an innocent lawyer who lives a disciplined life. Jang Hye Sung is actually Soo Ha's first love after she gave a decisive testimony on his father's murder case 10 years ago and Soo Ha promised to protect her from the killer's threats. Meanwhile, Cha Kwan Woo is Jang Hye Sung's fellow lawyer, a cheerful and an idealistic former cop even though his character is a bit slow, he is nice and pleasant with a firm idea of his principles and justice. Together they will team up to find the justice in the courtroom and solve the toughest cases with less than 1% chance of winning.","Lee Jong Suk, Lee Bo Young, Yoon Sang Hyun, Lee Da Hee, Jung Woong In, Yoon Joo Sang","Mystery,  Law,  Romance,  Supernatural ","Special Power, Revenge, Smart Female Lead, Trauma, Strong Female Lead, Older Woman/Younger Man, Male Chases Female First, Age Gap, Mind Reading, Cohabitation",#88,8.5
Reply 1997,2012,"Jul 24, 2012 - Sep 18, 2012", Tuesday,16,tvN ,60 min.,15+ - Teens 15 or older ,"Set in the 1990's, the drama centers around a female high school student Shi Won, who idolizes boyband H.O.T and her 5 high school friends in Busan. As the timeline moves back and forth between their past as 18-year-old high schoolers in 1997 and their present as 33-year-olds at their high school reunion dinner in 2012, where one couple will announce that they're getting married.","Jung Eun Ji, Seo In Guk, Hoya, Shin So Yool, Eun Ji Won, Lee Si Eon","Comedy,  Romance,  Life,  Family ","Childhood Friends, High School, 1990s, Strong Friendship, First Love, Best Friends, Friends To Lovers, Bromance, Love Square, Unrequited Love",#89,8.5
Kairos,2020,"Oct 26, 2020 - Dec 22, 2020"," Monday, Tuesday",16,MBC ,1 hr. 10 min.,15+ - Teens 15 or older ,"Living a precarious life as a part-timer at a convenience store, Ae Ri strives to support her mother who is on a waiting list for a heart transplant. Unfortunately, her mother’s worsened physical condition leads her to forgo the long-awaited opportunity for the transplant, and just like that her mother disappears. Things were already chaotic enough for Ae Ri when she receives a phone call from a strange man claiming to be from the same world but 31 days in the future. Ironically, he desperately asks Ae Ri for help. Seo Jin, a father and a husband of a close-knit family, has been living a successful life as the youngest person to become a director at a construction company. One day, it all crumbles down with the kidnapping of his daughter and his wife’s suicide. On the verge of breaking down, he is given an opportunity to restore everything that was lost under one condition, help from a strange woman. To bring his daughter and wife back to life, he makes a phone call as the clock strikes 10:33.","Shin Sung Rok, Lee Se Young, Ahn Bo Hyun, Nam Gyu Ri, Kang Seung Yoon, Jo Dong In","Action,  Thriller,  Drama,  Sci-Fi ","Time Altering, Past And Present, Hardworking Male Lead, Smart Male Lead, Family Secret, Rich Male Lead, Betrayal, Gaslighting, Different Timelines, Successful Male Lead",#90,8.5
Dali and the Cocky Prince,2021,"Sep 22, 2021 - Nov 11, 2021"," Wednesday, Thursday",16,KBS2 ,1 hr. 5 min.,15+ - Teens 15 or older ,"As a young boy, Moo Hak grew up in the market as a peddler. Although he is ignorant, he is strong-willed and knows how to make money. He is now the managing director of Dondon F and B, a global restaurant chain that his family started as a small gamjatang diner. However, he isn't dignified and only cares about money. He meets Da Li, the only daughter and child of an upper-class family who runs an art gallery. She has a profound deep knowledge of things. She gets faced with bankruptcy due to her father's sudden death and begins a hard life. Moo Hak and Da Li start a relationship as a creditor and debtor over the art gallery. Will these two polar opposites understand each other and fall in love?","Park Gyu Young, Kim Min Jae, Kwon Yool, Hwang Hee, Yeonwoo, Park Sang Myun","Comedy,  Romance,  Drama ","Smart Female Lead, Rich Female Lead, Art Gallery, Rich Male Lead, Multilingual, Bankruptcy, Art, Eccentric Male Lead, Healthy Mains’ Relationship, Male Chases Female First",#91,8.5
Yumi's Cells,2021,"Sep 17, 2021 - Oct 30, 2021"," Friday, Saturday",14,tvN ,1 hr. 10 min.,13+ - Teens 13 or older ,"Controlled by a complex network of cells, each and every human on the planet is kept running by an unseen operating system that is, for the most part, completely ignored. Though humans never give much thought to how they manage to function, day in and day out, the cells within the human body are constantly at work, doing their part to keep their human alive and well. Which is why on the outside, Kim Yoo Mi may appear to be just like every other single working woman in the world, but underneath that ordinary exterior lies something truly extraordinary. ","Kim Go Eun, Ahn Bo Hyun, Park Ji Hyun, Lee Yoo Bi, Joo Jong Hyuk, Park Jin Young","Psychological,  Comedy,  Romance,  Drama ","Career Woman, Slice Of Life, Friendship, Mixed Live Action-Animation, Office Worker, Workplace, Adapted From A Webtoon, Honest Male Lead, Game Developer, Personal Growth",#92,8.5
Arthdal Chronicles Part 1,2019,"Jun  1, 2019 - Jun 16, 2019"," Saturday, Sunday",6,"Netflix,  tvN ",1 hr. 20 min.,15+ - Teens 15 or older ,"Set in the fictional land of Arthdal during ancient times(bronze age). Eun Seom was born with a fate to bring disaster to Arthdal, which leads him and his mother, who wants to save him, to endure hardships. Finally, they decide to leave and travel together to a better place. Although Eun Seom grows up in the new land, he is seen as an outcast because he is different from the land's natives. Ta Gon is a war hero of Arthdal. He has paved the way for Arthdal to become a prosperous city and nation and he is the strongest warrior in Arthdal. He dreams of becoming the first king of Arthdal.","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Eui Sung, Lee Do Kyung","Historical,  Romance,  Fantasy,  Political ","Power Struggle, Multiple Mains, Curse, Hidden Identity, Identical Twins, Strong Female Lead, War, Orphan Male Lead, Slavery, Shamanism",#93,8.5
Beautiful World,2019,"Apr  5, 2019 - May 25, 2019"," Friday, Saturday",16,"jTBC,  Viki ",60 min.,15+ - Teens 15 or older ,"This drama is about a boy on the edge of life and death, and his family's quest to find the truth.  Amidst the lies and secrets, mistrust and pain, the family looks for hope in this crazy world.  Mu Jin, is a teacher and a father. His wife, In Ha, runs 'Ho Ho Bakery' and they have a 9th-grade son and an 8th-grade daughter.  For the sake of their kids' education, they move to a different neighborhood. One day, at their new competitive school, Sun Ho gets into an accident, causing him to become brain dead.  The father and mother, filled with great guilt and rage because of the accident, investigate to find out what happened to cause the accident.  Su Ho, Sun Ho's baby sister, also sets out on her own to find out the truth behind her brother's accident.","Park Hee Soon , Choo Ja Hyun, Oh Man Suk, Cho Yeo Jung, Nam  Da Reum , Kim Hwan Hee","Life,  School,  Family,  Melodrama ","School Bullying, Family Relationship, Coma, Tearjerker, Sibling, Student, Psychopath, High School, Married Couple, Strong Female Lead",#94,8.5
What's Wrong with Secretary Kim,2018,"Jun  6, 2018 - Jul 26, 2018"," Wednesday, Thursday",16,tvN ,1 hr. 9 min.,15+ - Teens 15 or older ,"The series revolves around the narcissistic Lee Young Joon, the vice president of a company run by his family. He is very self-absorbed and thinks highly of himself, so much that he barely acknowledges the people around him. Lee Young Joon has a capable and patient secretary Kim Mi So who has remained by his side and worked diligently for 9 years without any romantic involvement. However, Mi So now wants to set her life & focus on herself so when she decides to resign from her job, hilarious misunderstandings ensue. After 9 years of their strictly-workplace relationship, can it now develop in something more?","Park Min Young, Park Seo Joon, Lee Tae Hwan, Pyo Ye Jin, Kim Hye Ok, Kim Byung Ok","Friendship,  Business,  Comedy,  Romance ","Adapted From A Webtoon, Steamy Kiss, Male Chases Female First, Boss-Employee Relationship, Office Romance, Rich Male Lead, Calm Female Lead, Trauma, Smart Female Lead, Secretary",#95,8.5
Vagabond,2019,"Sep 20, 2019 - Nov 23, 2019"," Friday, Saturday",16,"Netflix,  SBS ",1 hr. 10 min.,15+ - Teens 15 or older ,"Cha Dal Gun becomes an awakened tiger in the face of his nephew’s death in a mysterious plane crash. As an orphan himself, he had raised his nephew singlehandedly in place of his brother who had passed on. Triggered by the large-scale cover-up of the incident, he sets off on a journey to discover the truth. ","Lee Seung Gi, Bae Suzy, Shin Sung Rok, Baek  Yoon Shik, Moon Sung Geun, Kim Min Jong","Action,  Thriller,  Mystery,  Crime ","Plane Crash, Revenge, National Intelligence Service, Corruption, Agent, Death Of A Child, Death, Spy, Strong Male Lead, Terrorist",#96,8.5
Doctor John,2019,"Jul 19, 2019 - Sep  7, 2019"," Friday, Saturday",32,SBS ,35 min.,15+ - Teens 15 or older ,"“Doctor John” is a medical drama about doctors specializing in pain management. In a refreshing take on the genre, “Doctor John” will portray the doctors’ search for the cause of their patients’ mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime. ","Ji Sung, Lee Se Young, Lee Kyu Hyung, Hwang Hee, Jung Min Ah, Kwon Hwa Woon","Mystery,  Romance,  Life,  Medical ","Smart Male Lead, Incurable Disease, Eccentric Male Lead, Euthanasia, Hardworking Male Lead, PTSD, Ex-convict, Secret, Trauma, Tragic Past",#97,8.5
When the Camellia Blooms,2019,"Sep 18, 2019 - Nov 21, 2019"," Wednesday, Thursday",40,"KBS2,  Netflix ",35 min.,15+ - Teens 15 or older ,"Dong Baek is a single mother living in the small town of Ongsan. She runs the bar-restaurant Camellia, while also taking care of her son Pil Gu. The people of Ongsan frequently gossip about Dong Baek. She grew up as an orphan, is a single mother and runs a bar where many of the men in Ongsan frequent. Regardless of what the locals may whisper about Dong Baek, local police officer Hwang Yong Shik is deeply in love with her. Meanwhile, Dong Baek's ex-boyfriend Kang Jong Ryeol suddenly reappears in her life. He is a famous baseball player, that hid their relationship when they dated. While Dong Baek tries to find happiness, something truly sinister lurks in the background. A serial killer roams Ongsan and Dong Baek may be a target.","Gong Hyo Jin, Kang Ha Neul, Kim Ji Suk, Son Dam Bi, Oh Jung Se, Yeom Hye Ran","Thriller,  Comedy,  Romance,  Drama,  Family ","Single Mother, Mystery, Motherhood, Serial Killer, Mother-Son Relationship, Hardworking Female Lead, Dorky Male Lead, Male Chases Female First, Nice Male Lead, Independent Female Lead",#98,8.5
Because This Is My First Life,2017,"Oct  9, 2017 - Nov 28, 2017"," Monday, Tuesday",16,tvN ,1 hr. 10 min.,15+ - Teens 15 or older ,A house-poor man and homeless woman become housemates in a drama that examines the institution of marriage and the problems that young people face today.,"Jung So Min, Lee Min Ki, Esom, Park Byung Eun, Kim Ga Eun, Kim Min Seok","Comedy,  Romance,  Life,  Drama ","Contract Relationship, Marriage Of Convenience, Housemates, Eccentric Male Lead, Multiple Couples, Cohabitation, Sismance, Nerdy Male Lead, Writer, Multiple Mains",#99,8.5
Fight For My Way,2017,"May 22, 2017 - Jul 11, 2017"," Monday, Tuesday",16,KBS2 ,60 min.,15+ - Teens 15 or older ,Can you still go after your dreams without the right background?,"Park Seo Joon, Kim Ji Won, Ahn Jae Hong, Song  Ha Yoon, Kim Sung Oh, Jin Hee Kyung","Business,  Comedy,  Romance,  Sports ","Childhood Friends, Friends To Lovers, Strong Male Lead, Strong Female Lead, Neighbors, Strong Friendship, Personal Growth, Character Development, Secondary Couple, Ex-girlfriend Comes Back",#100,8.5
